hugo_symbol,ensembl_gene_id_version,ANNOT
CTCF,ENSG00000102974,TSG
CUL3,ENSG00000036257,TSG
CYLD,ENSG00000083799,TSG
DDX3X,ENSG00000215301,TSG
DICER1,ENSG00000100697,TSG
DNM2,ENSG00000079805,TSG
DNMT3A,ENSG00000119772,TSG
DROSHA,ENSG00000113360,TSG
EED,ENSG00000074266,TSG
ELF3,ENSG00000163435,TSG
ERCC2,ENSG00000104884,TSG
ERCC3,ENSG00000163161,TSG
ERCC4,ENSG00000175595,TSG
ERCC5,ENSG00000134899,TSG
ETNK1,ENSG00000139163,TSG
EXT2,ENSG00000151348,TSG
FANCA,ENSG00000187741,TSG
FANCC,ENSG00000158169,TSG
FANCD2,ENSG00000144554,TSG
FANCE,ENSG00000112039,TSG
FANCF,ENSG00000183161,TSG
FANCG,ENSG00000221829,TSG
FAS,ENSG00000026103,TSG
FAT1,ENSG00000083857,TSG
FAT4,ENSG00000196159,TSG
FBLN2,ENSG00000163520,TSG
FBXO11,ENSG00000138081,TSG
FBXW7,ENSG00000109670,TSG
FEN1,ENSG00000168496,TSG
FH,ENSG00000091483,TSG
FLCN,ENSG00000154803,TSG
GPC5,ENSG00000179399,TSG
GRIN2A,ENSG00000183454,TSG
HNF1A,ENSG00000135100,TSG
ID3,ENSG00000117318,TSG
ID3,ENSG00000283060,TSG
IGF2BP2,ENSG00000073792,TSG
KDM5C,ENSG00000126012,TSG
KEAP1,ENSG00000079999,TSG
KLF6,ENSG00000067082,TSG
KMT2C,ENSG00000055609,TSG
LARP4B,ENSG00000107929,TSG
LATS1,ENSG00000131023,TSG
LATS2,ENSG00000150457,TSG
LEPROTL1,ENSG00000104660,TSG
LRP1B,ENSG00000168702,TSG
LZTR1,ENSG00000099949,TSG
MAX,ENSG00000125952,TSG
MED12,ENSG00000184634,TSG
MEN1,ENSG00000133895,TSG
MGMT,ENSG00000170430,TSG
MLH1,ENSG00000076242,TSG
MSH2,ENSG00000095002,TSG
MSH6,ENSG00000116062,TSG
MUTYH,ENSG00000132781,TSG
N4BP2,ENSG00000078177,TSG
NBN,ENSG00000104320,TSG
NCOR1,ENSG00000141027,TSG
NCOR2,ENSG00000196498,TSG
NF2,ENSG00000186575,TSG
NFKBIE,ENSG00000146232,TSG
NTHL1,ENSG00000065057,TSG
PALB2,ENSG00000083093,TSG
PBRM1,ENSG00000163939,TSG
PHF6,ENSG00000156531,TSG
PHOX2B,ENSG00000109132,TSG
PIK3R1,ENSG00000145675,TSG
PMS2,ENSG00000122512,TSG
POLD1,ENSG00000062822,TSG
POLE,ENSG00000177084,TSG
POLG,ENSG00000140521,TSG
POT1,ENSG00000128513,TSG
PPP2R1A,ENSG00000105568,TSG
PPP6C,ENSG00000119414,TSG
PRDM1,ENSG00000057657,TSG
PRDM2,ENSG00000116731,TSG
PRF1,ENSG00000180644,TSG
PTCH1,ENSG00000185920,TSG
PTEN,ENSG00000171862,TSG
PTEN,ENSG00000284792,TSG
PTPN13,ENSG00000163629,TSG
PTPN6,ENSG00000111679,TSG
PTPRB,ENSG00000127329,TSG
PTPRC,ENSG00000081237,TSG
PTPRC,ENSG00000262418,TSG
